scenario_name,seed,config_id,avg_cost,num_evaluations,total_trials,walltime,finished,islands_num,migration,migration_batch,migration_freq,probCXcrossover,probMutateInverse,probMutateShift,probMutateSwap,probNothing,probOXcrossover,probPMXcrossover,release,reproduction,succession
xtab40N1,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
xran40A1,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
tcycle81_Dhyper_27,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
tai30b,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
evoflow_sko72_7_1,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
squares81_Dhyper_11,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
qapsatE55_1,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
esc32h,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
hyp81_7,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
evoflow_stf60es2_1_1,42.0,893.7612456747405,748035012.383122,2.994232987312572,2500.0,1164.541696140373,True,6.273356401384083,Threshold,0.21133875947346573,201.14763552479815,0.16353148196825754,0.10881288605588843,0.11331587333327782,0.21429610833123194,0.11994236609976182,0.12046172645541967,0.15963955775616254,Threshold,Tournament,NoElitism
